min_df: 10 	 vocab-size 18677 	 epochs: 100 	 run time: 0:29:07.291586
min_df: 10 	 vocab-size 18677 	 epochs: 20 	 run time: 0:05:43.401493
min_df: 10 	 vocab-size 18677 	 epochs: 200 	 run time: 0:57:08.085112
min_df: 2 	 vocab-size 54318 	 epochs: 10 	 run time: 0:08:26.383187
min_df: 2 	 vocab-size 54318 	 epochs: 20 	 run time: 0:16:37.311350
min_df: 2 	 vocab-size 54318 	 epochs: 20 	 run time: 0:16:50.131853
min_df: 2 	 vocab-size 54318 	 epochs: 100 	 run time: 1:23:44.041697
min_df: 2 	 vocab-size 54318 	 epochs: 150 	 run time: 4:33:52.294626
min_df: 10 	 vocab-size 18677 	 epochs: 150 	 run time: 1:41:05.869372
min_df: 10 	 vocab-size 18677 	 epochs: 100 	 run time: 0:58:30.120342
min_df: 100 	 vocab-size 3102 	 epochs: 150 	 run time: 0:26:45.777081
min_df: 100 	 vocab-size 3102 	 epochs: 100 	 run time: 0:11:58.238694
min_df: 100 	 vocab-size 3102 	 epochs: 150 	 run time: 0:08:02.601000
min_df: 100 	 vocab-size 3524 	 epochs: 150 	 run time: 0:09:25.516992
min_df: 100 	 vocab-size 3102 	 epochs: 150 	 run time: 0:08:03.265387
min_df: 100 	 vocab-size 3102 	 epochs: 150 	 run time: 0:07:57.193058
min_df: 100 	 vocab-size 3102 	 epochs: 150 	 run time: 0:07:59.281093
min_df: 100 	 vocab-size 3102 	 epochs: 150 	 run time: 0:08:00.346016
min_df: 100 	 vocab-size 3102 	 epochs: 150 	 run time: 0:08:06.494907
min_df: 100 	 vocab-size 3102 	 epochs: 150 	 run time: 0:08:01.993043
min_df: 100 	 vocab-size 3102 	 epochs: 150 	 run time: 0:08:02.059188
min_df: 100 	 vocab-size 3102 	 epochs: 150 	 run time: 0:08:16.722602
min_df: 100 	 vocab-size 3102 	 epochs: 150 	 run time: 0:07:58.565146
min_df: 100 	 vocab-size 3102 	 epochs: 150 	 run time: 0:08:04.101547
min_df: 100 	 vocab-size 3102 	 epochs: 150 	 run time: 0:08:03.760683
min_df: 100 	 vocab-size 3102 	 epochs: 150 	 run time: 0:08:03.293109
min_df: 100 	 vocab-size 3102 	 epochs: 150 	 run time: 0:08:04.592220
min_df: 100 	 vocab-size 3102 	 epochs: 10 	 run time: 0:02:55.671807
min_df: 100 	 vocab-size 3102 	 epochs: 5 	 run time: 0:01:40.184779
min_df: 100 	 vocab-size 3102 	 epochs: 150 	 run time: 0:08:40.216776
min_df: 30 	 vocab-size 8496 	 epochs: 150 	 run time: 0:21:30.945486
min_df: 10 	 vocab-size 18677 	 epochs: 150 	 run time: 0:45:41.168745
min_df: 5 	 vocab-size 29874 	 epochs: 150 	 run time: 2:37:58.310476
min_df: 100 	 vocab-size 3095 	 epochs: 2 	 run time: 0:00:19.387932
train with prefitted-skipgram min_df: 100 	 vocab-size 3102 	 epochs: 9 	 run time: 0:02:35.396326
train with prefitted-skipgram min_df: 100 	 vocab-size 3102 	 epochs: 9 	 run time: 0:02:14.221195
train with prefitted-skipgram min_df: 100 	 vocab-size 3102 	 epochs: 9 	 run time: 0:02:15.701419
train with prefitted-skipgram min_df: 100 	 vocab-size 3102 	 epochs: 2 	 run time: 0:00:35.281585
train with prefitted-skipgram min_df: 100 	 vocab-size 3102 	 epochs: 2 	 run time: 0:00:32.177408
train with prefitted-skipgram min_df: 100 	 vocab-size 3102 	 epochs: 2 	 run time: 0:00:35.898541
train with prefitted-skipgram min_df: 100 	 vocab-size 3102 	 epochs: 5 	 run time: 0:01:42.485524
train with prefitted-bert min_df: 100 	 vocab-size 3095 	 epochs: 2 	 run time: 0:00:36.303292
train with prefitted-bert min_df: 10 	 vocab-size 18637 	 epochs: 2 	 run time: 0:02:45.202979
train with prefitted-bert min_df: 10 	 vocab-size 19107 	 epochs: 2 	 run time: 0:02:49.214057
train with prefitted-bert min_df: 10 	 vocab-size 19107 	 epochs: 2 	 run time: 0:03:24.434106
train with prefitted-bert min_df: 10 	 vocab-size 18637 	 epochs: 2 	 run time: 0:03:23.148406
