name 	 epochs	 topic-coherrence 	 topic-diversity 	 quality
train 	 150 	 0.07432636004817547 	 0.432 	 0.032108987540811804
name 	 epochs	 topic-coherrence 	 topic-diversity 	 quality
train 	 150 	 0.07363484987722906 	 0.458 	 0.03372476124377091
name 	 epochs	 topic-coherrence 	 topic-diversity 	 quality
train 	 150 	 0.07099517719364642 	 0.442 	 0.03137986831959172
name 	 epochs	 topic-coherrence 	 topic-diversity 	 quality
train 	 150 	 0.07223515174759108 	 0.458 	 0.03308369950039672
name 	 epochs	 topic-coherrence 	 topic-diversity 	 quality
train 	 150 	 0.08061944433297147 	 0.446 	 0.03595627217250528
name 	 epochs	 topic-coherrence 	 topic-diversity 	 quality
train 	 150 	 0.07155871810476715 	 0.452 	 0.03234454058335475
name 	 epochs	 topic-coherrence 	 topic-diversity 	 quality
train 	 150 	 0.07647317512305954 	 0.454 	 0.03471882150586903
name 	 epochs	 topic-coherrence 	 topic-diversity 	 quality
train 	 150 	 0.06795066769131929 	 0.454 	 0.030849603131858958
name 	 epochs	 topic-coherrence 	 topic-diversity 	 quality
train 	 150 	 0.0745864000757003 	 0.464 	 0.03460808963512494
epochs 	 n-hidden-size 	 activate-func 	 optimizer 	 coherrence 	 diversity 	 quality
150 	500 	 ReLU 	 adam 	 0.07256118616823937 	 0.472 	 0.03424887987140898
epochs 	 n-hidden-size 	 activate-func 	 optimizer 	 coherrence 	 diversity 	 quality
150 	600 	 ReLU 	 adam 	 0.0742685778554868 	 0.442 	 0.03282671141212516
epochs 	 n-hidden-size 	 activate-func 	 optimizer 	 coherrence 	 diversity 	 quality
150 	700 	 ReLU 	 adam 	 0.0722360015520655 	 0.426 	 0.030772536661179902
epochs 	 n-hidden-size 	 activate-func 	 optimizer 	 coherrence 	 diversity 	 quality
150 	800 	 ReLU 	 adam 	 0.07084543159401463 	 0.46 	 0.03258889853324673
epochs 	 n-hidden-size 	 activate-func 	 optimizer 	 coherrence 	 diversity 	 quality
150 	600 	 tanh 	 adam 	 0.06903421146551479 	 0.446 	 0.0307892583136196
epochs 	 n-hidden-size 	 activate-func 	 optimizer 	 coherrence 	 diversity 	 quality
10 	800 	 ReLU 	 adam 	 0.1335416369758456 	 0.414 	 0.05528623770800007
epochs 	 n-hidden-size 	 activate-func 	 optimizer 	 coherrence 	 diversity 	 quality
5 	800 	 ReLU 	 adam 	 0.10177583916427799 	 0.26 	 0.026461718182712278
epochs 	 n-hidden-size 	 activate-func 	 optimizer 	 coherrence 	 diversity 	 quality
150 	800 	 ReLU 	 adam 	 0.1782498834895646 	 0.866 	 0.15436439910196295
epochs 	 n-hidden-size 	 activate-func 	 optimizer 	 coherrence 	 diversity 	 quality
9 	800 	 ReLU 	 adam 	 0.11258301328293127 	 0.364 	 0.04098021683498698
epochs 	 n-hidden-size 	 activate-func 	 optimizer 	 coherrence 	 diversity 	 quality
9 	800 	 ReLU 	 adam 	 0.1472412983459591 	 0.414 	 0.06095789751522706
epochs 	 n-hidden-size 	 activate-func 	 optimizer 	 coherrence 	 diversity 	 quality
9 	800 	 ReLU 	 adam 	 0.12203946020083868 	 0.366 	 0.04466644243350695
epochs 	 n-hidden-size 	 activate-func 	 optimizer 	 coherrence 	 diversity 	 quality
2 	800 	 ReLU 	 adam 	 0.07912831259196698 	 0.158 	 0.012502273389530784
epochs 	 n-hidden-size 	 activate-func 	 optimizer 	 coherrence 	 diversity 	 quality
2 	800 	 ReLU 	 adam 	 0.07018876449361953 	 0.156 	 0.010949447261004648
epochs 	 n-hidden-size 	 activate-func 	 optimizer 	 coherrence 	 diversity 	 quality 	 perplexity
5 	800 	 ReLU 	 adam 	 0.10831686366281139 	 0.256 	 0.027729117097679716 	 3181.644011385556
