home	-0.008649577 -0.001637067 0.051015016 -0.038718272 0.036778763 0.026242319 0.029239373 -0.009380465 0.015907044 -0.008566367
institute	0.078499578 -0.031993095 -0.008659225 -0.085751079 0.097675987 -0.025421828 0.030185360 0.055849660 0.027806198 -0.029962620
technology	0.236918256 0.009147243 0.096035577 -0.211522281 0.245759547 -0.038589165 0.092550263 0.022220403 0.048268870 0.007211571
distribution	0.096775658 -0.032204933 0.103954107 -0.167685494 0.241246492 -0.030311998 0.048332274 0.016295208 0.018141342 -0.011802335
usa	0.112516925 -0.022395799 0.033714052 -0.088738985 0.184804559 0.039734092 0.080821112 0.020453608 -0.050000079 0.074587785
nntp	0.266652286 0.043549009 0.178733870 -0.213872239 0.317433983 -0.031024035 0.125412792 0.012934914 -0.015291845 0.032890081
posting	0.274349928 0.002763820 0.136781678 -0.209791020 0.378461778 0.016089892 0.177561447 0.002092758 0.019096144 0.059730519
host	0.201611280 0.051824979 0.103817195 -0.227445915 0.317295551 -0.049492370 0.160255879 0.007921368 0.025701076 0.046464916
article	0.323820621 0.007026009 0.192253768 -0.307384104 0.481757104 -0.020886948 0.190873280 0.109267190 0.046150815 0.101405479
cc	0.155659735 0.027337136 0.134024650 -0.188387588 0.287824631 0.023876576 0.098052800 0.005371811 0.005687349 0.005212300
writes	0.336026967 -0.006132904 0.165887192 -0.282626271 0.512664258 -0.039934441 0.139262810 0.085677542 0.035289083 0.070593990
org	0.058493350 0.016122842 0.087722659 -0.096728668 0.069884844 -0.028493211 0.023799203 -0.027571980 -0.008781277 0.062653087
call	0.153844848 0.027625151 0.101539478 -0.108866833 0.190383181 -0.015561048 0.128751799 0.021803021 0.019603070 -0.012607377
case	0.211311892 0.003658542 0.090501457 -0.198848784 0.293027669 0.005795213 0.071612850 0.080501325 -0.039731745 0.059806649
single	0.156989843 -0.044123858 0.127855405 -0.117707282 0.222391114 -0.038750280 0.103875376 0.023407549 -0.039860085 0.016278764
system	0.135372877 0.020111984 0.060685810 -0.118188478 0.171021372 -0.042225182 0.080415353 0.040641028 0.026379580 -0.001061194
university	0.258866340 -0.049558837 0.123896927 -0.166307881 0.275851518 0.027998200 0.105451636 -0.001026328 0.023086781 0.038157504
windows	0.190600917 0.013366087 0.084996305 -0.193897679 0.241218269 -0.041457973 0.059018821 0.053765044 0.008006245 0.005447384
program	0.200664535 0.022469509 0.121659592 -0.185771719 0.319128335 0.005209794 0.106876694 0.003843043 -0.029214429 0.028050207
run	0.174045071 0.039468534 0.092631072 -0.118977539 0.244167596 -0.029438972 0.038154546 0.003664077 0.025683269 0.020343794
dos	0.032813530 -0.001538673 0.019292854 0.016885215 0.019831328 0.016384656 -0.004082577 -0.008058551 -0.006709388 -0.018065408
pc	0.077364326 -0.035160445 0.025907386 -0.054145541 0.141269609 -0.050272211 0.013653289 0.061965685 -0.033329792 0.041733567
find	0.138035476 -0.044370767 0.059934344 -0.155501202 0.296896040 0.015238723 0.061090298 0.036762368 -0.027758790 -0.000561454
gov	0.122586995 -0.036042325 0.033407051 -0.136565715 0.187274382 0.023091944 0.038488314 0.017939480 0.004170089 0.006643406
john	0.151140317 -0.015630735 0.131765604 -0.141084731 0.264019221 -0.020257493 0.143893570 0.069900155 0.018632378 0.066384614
end	0.179651648 0.000222205 0.090167195 -0.167262077 0.242928922 0.017294092 0.142407209 0.061580174 -0.027114788 0.051397815
apr	0.139800549 0.050225914 0.026760606 -0.090867683 0.195324153 -0.029962160 0.029347636 0.014573856 -0.016213872 0.003606915
post	0.181215703 0.029054556 0.134152234 -0.173442781 0.221920460 0.022083364 0.068933576 0.043221131 -0.011692137 0.054495472
god	0.233016253 -0.018285604 0.089713871 -0.204716384 0.283025324 0.035792302 0.113051780 0.058345653 -0.023213185 0.072685778
world	0.233668000 -0.005058830 0.119984761 -0.161958531 0.351622701 0.039908145 0.089473076 0.086307988 -0.013101634 0.053012937
place	0.204492509 -0.045998421 0.125700876 -0.127328038 0.290848851 -0.046109095 0.068025298 -0.007601481 -0.043761000 0.041987218
life	0.199332640 0.039548833 0.128138095 -0.191200033 0.219132513 0.032751977 0.131365865 0.048790436 0.035322335 -0.008798109
found	0.169987530 0.006297135 0.063654944 -0.114002697 0.187506020 0.001683275 0.046960261 0.016923454 -0.041530181 0.024031959
original	0.103045113 0.027207542 0.072299048 -0.081825994 0.169635877 0.000527699 0.106765240 0.021688933 -0.033176601 -0.003004312
interested	0.114711441 0.014932406 0.099806130 -0.128229052 0.152905419 -0.002785703 0.044376489 0.051935200 0.013514939 0.034130771
matter	0.101505674 -0.021292759 0.092346296 -0.122145653 0.160205156 -0.037597109 0.036248308 0.008610614 -0.051409759 0.042522881
send	0.109410278 0.037042934 0.077642888 -0.107447781 0.221767858 -0.009863451 0.073529072 0.006310292 -0.027266487 0.045062006
question	0.121970475 -0.001574388 0.084359914 -0.132162794 0.291294873 -0.045087725 0.076268345 0.022341574 -0.008660470 0.053461373
message	0.096988536 -0.030825181 0.048416629 -0.092324384 0.156247735 -0.024654677 0.034499962 0.075995244 0.000525914 0.036729928
james	0.133238345 0.018691745 0.069644287 -0.172612518 0.264346570 0.038211264 0.100854591 0.078885712 -0.007672050 0.018778408
worth	0.113017291 -0.024773372 0.071984626 -0.028116593 0.162704721 -0.005947787 0.042521823 0.019914966 -0.042956375 0.005777372
put	0.195515543 -0.009787763 0.087261021 -0.143500343 0.295311034 -0.025752261 0.091643497 0.085629240 0.015983874 0.052530147
form	0.151429385 0.002677546 0.014995300 -0.095185958 0.177660599 -0.052730292 0.074689083 0.063873097 -0.032503553 0.045096777
book	0.082892723 0.020515271 0.054213937 -0.030528165 0.103644751 0.013816206 0.097012438 0.012775394 -0.013730430 -0.015262519
washington	0.146789283 0.030706633 0.061365124 -0.072528496 0.177387267 0.027488057 0.114497960 0.040919133 0.041304387 0.074382976
times	0.168916106 0.033701267 0.152481183 -0.202198297 0.309977919 -0.019356342 0.112506181 0.079522707 0.039030116 0.060756754
nice	0.135607019 0.001588115 0.055266395 -0.073651753 0.178924322 0.008273565 0.073466048 0.035973568 -0.016316975 -0.003006522
assuming	0.110904396 -0.019292671 0.032444853 -0.083004504 0.048448365 0.001880516 0.076051712 -0.031647846 0.020111321 0.004636516
large	0.199605539 -0.043992024 0.116445959 -0.111116029 0.213298306 -0.031219624 0.050077159 0.039700195 0.018414941 0.055071536
guess	0.134367689 0.014835233 0.124115936 -0.116202690 0.216584846 0.038960196 0.044870306 0.057581138 -0.016014505 0.029626623
care	0.163641378 -0.011914177 0.056733932 -0.102457203 0.160121500 -0.043691047 0.058207680 0.034163296 -0.007573803 0.065829419
car	0.280748695 -0.050276171 0.141317129 -0.208128855 0.377309620 0.027406935 0.149354041 0.084110849 0.026913982 0.085393995
good	0.202739179 0.015363765 0.132661581 -0.177911282 0.322839111 0.026687359 0.116499349 0.058366239 -0.031096220 0.042865384
mind	0.085314699 0.029963581 0.029422233 -0.035876095 0.156036809 0.000298941 0.080493316 0.038983971 0.048608787 0.038869709
sell	0.104704544 -0.046882167 0.013991814 -0.100434944 0.093484424 0.034896102 0.065690696 -0.024299653 0.018147817 0.056292046
opinions	0.120449640 0.006331230 0.105908059 -0.180420190 0.242400080 -0.028904995 0.047740560 -0.005560898 -0.025053257 -0.007501634
hand	0.114220127 -0.015447259 0.058553491 -0.166031569 0.199307665 0.025312616 0.059184965 0.079449877 0.000514318 0.047559503
friend	0.151019216 -0.028776761 0.103339255 -0.082569383 0.160977244 -0.044188503 0.021224827 -0.015913758 -0.036637738 -0.008866882
reading	0.067683913 -0.000540983 0.105942018 -0.103301801 0.118946806 -0.025780799 0.072195314 0.017691987 0.001915190 -0.013666804
